panjivarecordid,arrivaldate,conname,shpname,con_ciqid,shp_ciqid,hs6,hs2,n_hs6,shpmtorigin,weightkg,valueofgoodsusd,unit,relationship
284112994,2024-10-27,Carver Sand & Gravel Se Llc,Carver Materials Canada Ltd.,419697152,,847982,84,1,Canada,42056560.0,573231000.0,13.6300020733983,unmatched
270994336,2024-05-06,Royal Caribbean Cruises Ltd.,Royal Caribbean Cruises Ltd.,325643,325643,847950,84,1,Mexico,72008096.0,571456000.0,7.935996530167941,within_firm
267076393,2024-02-20,Oxbow Calcining Llc,Oxbow Brasil Energia Industries E,242268354,,300490,30,1,Brazil,11653430.0,571065000.0,49.00402714050713,unmatched
265258457,2024-01-26,Nucor Steel Louisiana Llc,Samarco Mineracao SA,113392951,,761699,76,1,Brazil,78888000.0,569177000.0,7.215001014095933,unmatched
280366061,2024-09-02,Sunoco Inc.,Aramco Trading Co.,305749,,870323,87,1,Saudi Arabia,39370128.0,562757000.0,14.294009915334794,unmatched
267502025,2024-03-07,Entertainment Cruise Productions,Royal Caribbean Cruises Ltd.,1859970081,325643,640299,64,1,Netherlands Antilles,47979096.0,560684000.0,11.686005922245805,arms_length
282128934,2024-10-02,Carver Sand & Gravel Se Llc,Carver Materials Canada Ltd.,419697152,,847982,84,1,Canada,42010008.0,557977000.0,13.282001755391239,unmatched
266514986,2024-02-19,Nucor Steel Louisiana Llc,Samarco Mineracao SA,113392951,,761699,76,1,Brazil,76883000.0,554711000.0,7.215002016050362,unmatched
278947736,2024-08-25,Superior Asphalt Enterprises Inc.,Dexter Construction Group,342144838,,847982,84,1,Canada,40732008.0,552611000.0,13.566996255131837,unmatched
267195245,2024-02-12,Eastern Salt Co. Inc.,Compania Minera Cordillera Chile,116787941,1973880675,381590,38,1,Chile,41250000.0,550069000.0,13.33500606060606,arms_length
266025751,2024-02-09,Nucor Steel Louisiana Llc,Samarco Mineracao SA,113392951,,761699,76,1,Brazil,74972000.0,540923000.0,7.21500026676626,unmatched
267605171,2024-03-10,Valenz Corp.,Methanol Holdings (Trinidad) Ltd.,,,382219,38,1,Trinidad and Tobago,13730855.0,539897000.0,39.31998407965127,unmatched
266172338,2024-02-12,Oxbow Calcining Llc,Oxbow Brasil Energia Industria E Comercio Ltda,242268354,,300490,30,1,Brazil,10968000.0,537476000.0,49.00401167031364,unmatched
274240693,2024-06-23,,Samarco Mineracao SA,,,761699,76,1,Brazil,78605000.0,523116000.0,6.654996501494816,unmatched
274765574,2024-06-28,Cemex Construction Materials,Cemex Materials Newfoundland Inc.,6529258,1863586794,842890,84,1,Canada,50000000.0,518250000.0,10.365,arms_length
275082108,2024-07-04,,Samarco Mineracao SA,,,761699,76,1,Brazil,77715000.0,517193000.0,6.654995818053143,unmatched
285990758,2024-11-13,Superior Asphalt Enterprises Inc.,Dexter Construction Group,342144838,,847982,84,1,Canada,40061648.0,515674000.0,12.872011655636333,unmatched
271284595,2024-05-05,Oxbow Calcining Llc,Oxbow Brazil Energia Industria E,242268354,,300490,30,1,Brazil,10799000.0,515501000.0,47.735994073525326,unmatched
267080752,2024-02-28,Carver Sand & Gravel Se Llc,Carver Materials Canada Ltd.,419697152,,842890,84,1,Canada,45170632.0,508215000.0,11.251004856429727,unmatched
265322521,2024-01-04,Carver Sand & Gravel Se Llc,Carver Materials Canada Ltd.,419697152,,842890,84,1,Canada,45107740.0,507507000.0,11.250995948810559,unmatched
270569979,2024-04-30,Nucor Steel Louisiana Llc,Samarco Mineracao SA,113392951,,761699,76,1,Brazil,78103000.0,506654000.0,6.486997938619515,unmatched
268615153,2024-03-28,Gaetano Cacciatore Inc.,Eiffage Insfraestructuras S.A.U.,32692466,,842890,84,1,United States,45000000.0,506295000.0,11.251,unmatched
284135489,2024-10-26,,Samarco Mineracao SA,,,761699,76,1,Brazil,77728000.0,504532000.0,6.49099423631124,unmatched
279966764,2024-09-08,,Samarco Mineracao SA,,,761699,76,1,Brazil,78088000.0,503511000.0,6.4479945702284605,unmatched
268546735,2024-03-06,Eastern Salt Co. Inc.,Compania Minera Cordillera Chile,116787941,1973880675,381590,38,1,Chile,37625152.0,501731000.0,13.334989317784018,arms_length
266106162,2024-02-10,Hm Southeast Cement Llc,Akcansa Cimento San Tic. A.S. Tehc Trading Americas Llc,1946056127,,382450,38,1,Turkey,35975000.0,501384000.0,13.937011813759556,unmatched
267346559,2024-02-20,Eastern Salt Co. Inc.,Compania Minera Cordillera Chile,116787941,,381590,38,1,United States,37300000.0,497396000.0,13.335013404825737,unmatched
271910573,2024-05-17,Nucor Steel Louisiana Llc,Samarco Mineracao SA,113392951,,761699,76,1,Brazil,78284000.0,496947000.0,6.348002146032395,unmatched
281001320,2024-09-19,,Samarco Mineracao SA,,,761699,76,1,Brazil,76752000.0,494897000.0,6.44800135501355,unmatched
269240220,2024-04-07,Carver Sand & Gravel Se Llc,Carver Materials Canada Ltd.,419697152,,842890,84,1,Canada,43822928.0,493052000.0,11.251005409770885,unmatched
269239943,2024-04-07,Hm Southeast Cement Llc,Akcansa Cimento San Tic. A.S. Tehc Trading Americas Llc,1946056127,,382450,38,1,Turkey,35300000.0,491976000.0,13.93699716713881,unmatched
276934309,2024-07-29,Ternium Mexico SA De Cv,Eastern Steel Sdn Bhd,,83757765,845490,84,1,Malaysia,44371404.0,490925000.0,11.063995180319289,unmatched
269280804,2024-04-07,,"Xin Yu Sanya International Trading Co., Ltd.",,,381590,38,1,China,36643000.0,488634000.0,13.33498894741151,unmatched
288166478,2024-12-06,Nlmk Pennsylvania Corp.,Arcelormittal Pecem S.A.,24908598,,843290,84,1,Brazil,57822000.0,486110000.0,8.407007713327108,unmatched
284839073,2024-11-04,Oxbow Calcining Llc,Oxbow Brasil Energia Industria E Comercio Ltda,242268354,,300490,30,1,Brazil,10715100.0,485083000.0,45.27097273940514,unmatched
287876620,2024-12-03,,,,,261310,26,1,Norway,21999824.0,481576000.0,21.889993301764594,unmatched
265629558,2024-02-02,Mosaic Fertilizer Llc,Compania Minera Miski Mayo Srl .,24390690,102330324,950300,95,1,Peru,60980000.0,480400000.0,7.877992784519515,within_firm
277072359,2024-07-29,Scan Global Logistics,Scan Global Logistics,252128686,,841981,84,1,Denmark,34948400.0,477884000.0,13.67398793650067,unmatched
270561856,2024-04-27,Carver Sand & Gravel Se Llc,Carver Materials Canada Ltd.,419697152,,842890,84,1,Canada,46204088.0,472991000.0,10.236994613983075,unmatched
277033672,2024-07-30,Oxbow Calcining Llc,Oxbow Brasil Energia Industria E Comercio Ltda,242268354,,300490,30,1,Brazil,11389000.0,472735000.0,41.50803406796031,unmatched
265735857,2024-02-02,,,,,382219,38,1,Trinidad and Tobago,12000000.0,471840000.0,39.32,unmatched
